_id	WCRNumber	LegacyLogNumber	RegionOffice	CountyName	LocalPermitAgency	PermitDate	PermitNumber	OwnerAssignedWellNumber	WellLocation	City	PlannedUseFormerUse	DrillerName	DrillerLicenseNumber	RecordType	DecimalLatitude	DecimalLongitude	MethodofDeterminationLL	LLAccuracy	HorizontalDatum	GroundSurfaceElevation	ElevationAccuracy	ElevationDeterminationMethod	VerticalDatum	Township	Range	Section	BaselineMeridian	APN	DateWorkEnded	WorkflowStatus	ReceivedDate	TotalDrillDepth	TotalCompletedDepth	TopOfPerforatedInterval	BottomofPerforatedInterval	CasingDiameter	DrillingMethod	Fluid	StaticWaterLevel	TotalDrawDown	TestType	PumpTestLength	WellYield	WellYieldUnitofMeasure	OtherObservations
1	WCR1960-002198	50756	DWR North Central Region Office	Alameda	None	None	None	None	None	None	Water Supply Domestic	R. S. DE LUCOHI/ DELUCCHI WELL & PUMP	116079	WellCompletion/New/Production or Monitoring/NA	None	None	None	None	None	None	None	None	None	Non	Non	None	None	None	1960-10-13T00:00:00	None	None	None	100.0	0.000000	100.000000	8.000000	CABLE	None	None	None	None	None	None	None	None
2	WCR1973-000236	17164a	DWR North Central Region Office	Alameda	Alameda County Public Works Agency, Water Resources Section	None	None	None	10120 TESLA RD	LIVERMORE	Water Supply Domestic	DE LUCCHI WELL AND PUMP,  DE LUCCHI WELL AND PUMP, INC.	394454	WellCompletion/New/Production or Monitoring/NA	None	None	None	None	None	None	None	None	None	Non	Non	None	Mount Diablo	None	1973-03-14T00:00:00	None	None	None	284.0	263	275	8	None	None	72	None	None	None	63	GPM	None
3	WCR1987-004183	198770	DWR North Central Region Office	Alameda	Alameda County Public Works Agency, Water Resources Section	None	None	None	None	UNION CITY	Monitoring	EXCELTECH, INC. EXCELTECH, INC.	CONV	WellCompletion/New/Production or Monitoring/NA	None	None	None	None	None	None	None	None	None	Non	Non	None	Mount Diablo	None	1987-01-07T00:00:00	None	None	None	45.0	None	None	2	None	None	None	None	None	None	None	None	None
4	WCR1987-004184	198771	DWR North Central Region Office	Alameda	Alameda County Public Works Agency, Water Resources Section	None	None	None	None	UNION CITY	Monitoring	EXCELTECH, INC. EXCELTECH, INC.	CONV	WellCompletion/New/Production or Monitoring/NA	None	None	None	None	None	None	None	None	None	Non	Non	None	Mount Diablo	None	1987-01-08T00:00:00	None	None	None	45.0	None	None	2	None	None	None	None	None	None	None	None	None
5	WCR1987-004185	198772	DWR North Central Region Office	Alameda	Alameda County Public Works Agency, Water Resources Section	None	None	None	None	UNION CITY	Monitoring	EXCELTECH, INC. EXCELTECH, INC.	CONV	WellCompletion/New/Production or Monitoring/NA	None	None	None	None	None	None	None	None	None	Non	Non	None	Mount Diablo	None	1987-01-16T00:00:00	None	None	None	45.0	None	None	2	None	None	None	None	None	None	None	None	None
6	WCR1987-004186	198773	DWR North Central Region Office	Alameda	Alameda County Public Works Agency, Water Resources Section	None	None	None	None	UNION CITY	Monitoring	EXCELTECH, INC. EXCELTECH, INC.	CONV	WellCompletion/New/Production or Monitoring/NA	None	None	None	None	None	None	None	None	None	Non	Non	None	Mount Diablo	None	1987-01-05T00:00:00	None	None	None	47.0	None	None	2	None	None	None	None	None	None	None	None	None
7	WCR1987-002030	195143	DWR North Central Region Office	Alameda	Alameda County Public Works Agency, Water Resources Section	None	None	None	None	ALAMEDA NAS	Monitoring	LAYNE-WESTERN COMPANY, IN LAYNE-WESTERN COMPANY, INC.	CONV	WellCompletion/New/Production or Monitoring/NA	None	None	None	None	None	None	None	None	None	Non	Non	None	Mount Diablo	None	1987-03-11T00:00:00	None	None	None	117.0	None	None	4	None	None	None	None	None	None	None	None	None
8	WCR1987-002034	195147	DWR North Central Region Office	Alameda	Alameda County Public Works Agency, Water Resources Section	None	None	None	None	ALAMEDA NAS	Monitoring	LAYNE-WESTERN COMPANY, IN LAYNE-WESTERN COMPANY, INC.	CONV	WellCompletion/New/Production or Monitoring/NA	None	None	None	None	None	None	None	None	None	Non	Non	None	Mount Diablo	None	1987-02-16T00:00:00	None	None	None	170.0	None	None	4	None	None	None	None	None	None	None	None	None
9	WCR1987-004380	197052	DWR North Central Region Office	Alameda	Alameda County Public Works Agency, Water Resources Section	None	None	None	None	ARDENWOOD PK	Monitoring	PITCHER DRILLING PITCHER DRILLING	263085	WellCompletion/New/Production or Monitoring/NA	None	None	None	None	None	None	None	None	None	Non	Non	None	Mount Diablo	None	1987-01-09T00:00:00	None	None	None	322.0	None	None	2	None	None	None	None	None	None	None	None	None
10	WCR1987-004382	197056	DWR North Central Region Office	Alameda	Alameda County Public Works Agency, Water Resources Section	None	None	None	None	ARDENWOOD PK	Monitoring	PITCHER DRILLING PITCHER DRILLING	263085	WellCompletion/New/Production or Monitoring/NA	None	None	None	None	None	None	None	None	None	Non	Non	None	Mount Diablo	None	1987-02-06T00:00:00	None	None	None	148.0	None	None	2	None	None	None	None	None	None	None	None	None
