STATION,STNAME,WELL_NAME,LATITUDE,LONGITUDE,LLDATUM,ELEV,COUNTY_NAME,WDL,COMMENT
01N04E36Q001M,Middle River Barrier well 2W screen 61-81 ft bgs       ,MRL-2W              ,37.88605556,-121.48183333,NAD83     ,6.9,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01N04E36Q001M,"01N04E36Q001M is part of a well cluster.  Other wells in the cluster are 01N04E36Q002,3,4M."
01N04E36Q002M,Middle River Barrier well 3W screen 14-34 ft bgs       ,MRL-3W              ,37.88486111,-121.48216667,NAD83     ,-1.0,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01N04E36Q002M,"01N04E36Q002M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,3,4M."
01N04E36Q003M,Middle River Barrier well 2 screen 10-20 ft bgs        ,MLNO-2              ,37.88602778,-121.48191667,NAD83     ,8.6,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01N04E36Q003M,"01N04E36Q003M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,2,4M."
01N04E36Q004M,Middle River Barrier well 1 screen 10-20 ft bgs        ,MLNO-1              ,37.88502778,-121.48200000000001,NAD83     ,15.9,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01N04E36Q004M,"01N04E36Q004M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,2,3M."
01S04E28F001M,Grant Line Canal Barrier well 2W screen 10-25 ft bgs   ,GLWL-2W             ,37.81855556,-121.54433333,NAD83     ,16.1,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28F001M,"01S04E28F001M is part of a well cluster.  Other wells in the cluster are 01S04E28F002,3,4M."
01S04E28F002M,Grant Line Canal Barrier well 1W screen 74-89 ft bgs   ,GLWL-1W             ,37.82041667,-121.54444444,NAD83     ,2.2,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28F002M,"01S04E28F002M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,3,4M."
01S04E28F003M,Grant Line Canal Barrier well 1 screen 15-25 ft bgs    ,GLNO-1              ,37.81855556,-121.54380556,NAD83     ,15.4,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28F003M,"01S04E28F003M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,2,4M."
01S04E28F004M,Grant Line Canal Barrier well 2 screen 15-25 ft bgs    ,GLNO-2              ,37.82033333,-121.54361111,NAD83     ,19.3,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28F004M,"01S04E28F004M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,2,3M."
01S04E28P001M,Old River at Tracy Barrier well 5W screen 36-51 ft bgs ,ORL-5W              ,37.81083333,-121.54263889,NAD83     ,6.7,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28P001M,"01S04E28P001M is part of a well cluster.  Other wells in the cluster are 01S04E28P002,3,4M."
01S04E28P002M,Old River at Tracy Barrier well 1W screen 86-106 ft bgs,ORL-1W              ,37.81030556,-121.54488889,NAD83     ,13.7,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28P002M,"01S04E28P002M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,3,4M."
01S04E28P003M,Old River at Tracy Barrier well 4 screen 10-20 ft bgs  ,OLNO-4              ,37.8105,-121.54219444,NAD83     ,16.9,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28P003M,"01S04E28P003M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,2,4M."
01S04E28P004M,Old River at Tracy Barrier well 3 screen 10-20 ft bgs  ,OLNO-3              ,37.80969444,-121.54277778,NAD83     ,14.1,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28P004M,"01S04E28P004M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,2,3M."
01S06E09E001M,Upper Roberts Island Well 3A screen 12-17 ft bgs       ,UR-3A               ,37.86251731,-121.32102875,NAD83     ,8.93,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S06E09E001M,01S06E09E001M is part of a well cluster.  The other well in the cluster is 01S06E09E002M.
01S06E09E002M,Upper Roberts Island Well 3B screen 15-20 ft bgs       ,UR-3B               ,37.86251189,-121.32158937,NAD83     ,6.51,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S06E09E002M,01S06E09E002M is part of a well cluster.  The other well in the cluster is 01S06E09E001M.
01S06E16D002M,Upper Roberts Island Well 2A screen 12-17 ft bgs       ,UR-2A               ,37.85137325,-121.32365659,NAD83     ,11.67,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S06E16D002M,01S06E16D002M is part of a well cluster.  The other well in the cluster is 01S06E16D003M.
01S06E16D003M,Upper Roberts Island Well 2B screen 14-19 ft bgs       ,UR-2B               ,37.85122454,-121.324648,NAD83     ,11.25,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S06E16D003M,01S06E16D003M is part of a well cluster.  The other well in the cluster is 01S06E16D002M.
01S06E29R001M,Upper Roberts Island Well 1A screen 23-28 ft bgs       ,UR-1A               ,37.81110136,-121.32564733,NAD83     ,15.383,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S06E29R001M,"01S06E29R001M is part of a well cluster.  Other wells in the cluster are 01S06E29R002,3M."
01S06E29R002M,Upper Roberts Island Well 1B screen 20-25 ft bgs       ,UR-1B               ,37.81260856,-121.3256613,NAD83     ,15.363,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S06E29R002M,"01S06E29R002M is part of a well cluster.  Other wells in the cluster are 01S06E29R001,3M."
01S06E29R003M,Upper Roberts Island Well 1C screen 35-40 ft bgs       ,UR-1C               ,37.81306824,-121.32579517,NAD83     ,15.333,San Joaquin,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S06E29R003M,"01S06E29R003M is part of a well cluster.  Other wells in the cluster are 01S06E29R001,2M."
